,Master Datset,,,,,,,,,,,,,,,
,33,0.104950495,0.000591477,0.21,0.181481481,,29,-0.6410786,9.19416E-06,2.28519E-05,,29,0.0550653,0.000692911,0.00000001,-2.518243977
,34,0.106930693,9.90E-05,0.75,0.120740741,,30,-0.6410786,8.42732E-06,2.28519E-05,,30,0.053879351,0.000663386,0.00000001,-2.537155295
,35,0.108910891,9.23E-05,0.9,0.017777778,,31,-0.741167684,1.25619E-06,0.038111111,,31,0.033478364,0.000203405,0.0441,-2.95047154
,36,0.110891089,0.000193532,0.85,0.0001,,32,-0.741167684,2.53906E-07,0.038111111,,32,0.022447521,9.14469E-05,0.0441,-3.297663241
,37,0.112871287,0.000108802,1,0.021481481,,33,-0.741167684,3.49845E-07,0.038111111,,33,0.024320303,0.000107342,0.0441,-3.228062046
,38,0.114851485,0.002014613,0.25,0.162592593,,34,-0.918146164,9.80302E-09,0.090555556,,34,0.009950387,1.19546E-05,0.5625,-4.004320074
,39,0.118811881,0.001944843,0.25,0.162592593,,35,-1.750122527,8.52779E-09,0.016,,35,0.009609685,1.64171E-06,0.81,-4.034581679
,40,0.120792079,0.002249354,0.25,0.162592593,,36,-4,3.74547E-08,0.000085,,36,0.013911589,1.93532E-08,0.7225,-3.713246554
,41,0.124752475,0.001634484,0.25,0.162592593,,37,-1.667935771,1.1838E-08,0.021481481,,37,0.01043084,2.33724E-06,1,-3.963361467
,42,0.126732673,0.000179388,0.175,0.023703704,,38,-0.788899244,4.05866E-06,0.040648148,,38,0.044884437,0.000327561,0.0625,-2.695808431
,43,0.128712871,0.000401481,0.8,0.097407407,,39,-0.788899244,3.78241E-06,0.040648148,,39,0.044100376,0.000316217,0.0625,-2.711115416
,44,0.130693069,0.000509603,0.8,0.097407407,,40,-0.788899244,5.05959E-06,0.040648148,,40,0.047427354,0.000365728,0.0625,-2.647942206
,45,0.132673267,0.000701368,0.125,0.197407407,,41,-0.788899244,2.67154E-06,0.040648148,,41,0.040428756,0.000265755,0.0625,-2.786619254
,46,0.134653465,0.001757431,0.125,0.197407407,,42,-1.62518379,3.218E-08,0.004148148,,42,0.01339358,4.25216E-06,0.030625,-3.746206658
,47,0.138613861,0.001114409,0.0001,0.372962963,,43,-1.011408016,1.61187E-07,0.077925926,,43,0.020036989,3.91072E-05,0.64,-3.396335101
,48,0.142574257,0.001160378,0.0001,0.372962963,,44,-1.011408016,2.59696E-07,0.077925926,,44,0.022574395,4.96391E-05,0.64,-3.292767761
,49,0.144554455,0.002571409,0.0001,0.372962963,,45,-0.704636555,4.91916E-07,0.024675926,,45,0.026483345,0.000138455,0.015625,-3.154054322
,50,0.146534653,0.000987926,0.0001,0.447777778,,46,-0.704636555,3.08856E-06,0.024675926,,46,0.041921725,0.00034693,0.015625,-2.755121717
,51,0.148514851,0.001207707,0.0001,0.447777778,,47,-0.428334294,1.24191E-06,3.72963E-05,,47,0.033382761,0.000415633,0.00000001,-2.952955494
,52,0.15049505,0.001294885,0.0001,0.447777778,,48,-0.428334294,1.34648E-06,3.72963E-05,,48,0.034064318,0.000432778,0.00000001,-2.935400607
,53,0.152475248,0.001098224,0.0001,0.447777778,,49,-0.428334294,6.61214E-06,3.72963E-05,,49,0.050709063,0.00095904,0.00000001,-2.589828829
,54,0.158415842,0.000473427,0.25,0.152592593,,50,-0.348937463,9.75998E-07,4.47778E-05,,50,0.031431289,0.000442371,0.00000001,-3.005275618
,55,0.16039604,0.000520892,0.25,0.152592593,,51,-0.348937463,1.45856E-06,4.47778E-05,,51,0.034752076,0.000540784,0.00000001,-2.918038488
,56,0.164356436,0.000396993,0.25,0.152592593,,52,-0.348937463,1.67673E-06,4.47778E-05,,52,0.035984507,0.000579821,0.00000001,-2.887768889
,57,0.166336634,0.000602085,0.0001,0.138888889,,53,-0.348937463,1.2061E-06,4.47778E-05,,53,0.033139468,0.00049176,0.00000001,-2.959308923
,58,0.168316832,0.000694023,0.0001,0.138888889,,54,-0.816466548,2.24133E-07,0.038148148,,54,0.021758366,7.22414E-05,0.0625,-3.32474743
,59,0.17029703,0.00061963,0.0001,0.138888889,,55,-0.816466548,2.71328E-07,0.038148148,,55,0.022823049,7.94842E-05,0.0625,-3.28325268
,60,0.172277228,0.000886604,0.0001,0.138888889,,56,-0.816466548,1.57603E-07,0.038148148,,56,0.019924678,6.05782E-05,0.0625,-3.401217359
,61,0.174257426,0.000683823,0.0001,0.098888889,,57,-0.857332496,3.62507E-07,1.38889E-05,,57,0.024537428,8.3623E-05,0.00000001,-3.220341932
,62,0.176237624,0.000635134,0.0001,0.098888889,,58,-0.857332496,4.81668E-07,1.38889E-05,,58,0.026344324,9.63921E-05,0.00000001,-3.158625885
,63,0.178217822,0.000551084,0.0001,0.098888889,,59,-0.857332496,3.83941E-07,1.38889E-05,,59,0.024892363,8.60597E-05,0.00000001,-3.207867738
,64,0.184158416,0.000305055,0.28,0.52962963,,60,-0.857332496,7.86066E-07,1.38889E-05,,60,0.029775891,0.000123139,0.00000001,-3.052270473
,65,0.186138614,0.000498043,0.28,0.52962963,,61,-1.004852503,4.67614E-07,9.88889E-06,,61,0.026150013,6.76225E-05,0.00000001,-3.165056185
,66,0.19009901,0.001478625,0.0001,0.07962963,,62,-1.004852503,4.03395E-07,9.88889E-06,,62,0.025201867,6.28077E-05,0.00000001,-3.197134573
,67,0.198019802,0.001935867,0.0001,0.28962963,,63,-1.004852503,3.03694E-07,9.88889E-06,,63,0.023475183,5.44961E-05,0.00000001,-3.258782017
,68,0.2,0.001468833,0.0001,0.28962963,,64,-0.276027727,9.30584E-08,0.148296296,,64,0.017465817,0.000161566,0.0784,-3.51562218
,69,0.201980198,0.003025251,0.0001,0.28962963,,65,-0.276027727,2.48047E-07,0.148296296,,65,0.022316878,0.000263778,0.0784,-3.302733114
,70,0.203960396,0.002792006,0.0001,0.28962963,,66,-1.098925304,2.18633E-06,7.96296E-06,,66,0.038452891,0.000117742,0.00000001,-2.83014201
,71,0.20990099,0.002242418,0.0001,0.28962963,,67,-0.538157011,3.74758E-06,2.8963E-05,,67,0.043998488,0.000560684,0.00000001,-2.713124492
,72,0.211881188,0.001697998,0.0001,0.28962963,,68,-0.538157011,2.15747E-06,2.8963E-05,,68,0.038325352,0.000425417,0.00000001,-2.833027698
,73,0.213861386,0.001655157,0.0001,0.28962963,,69,-0.538157011,9.15214E-06,2.8963E-05,,69,0.055002283,0.000876202,0.00000001,-2.519238567
,74,0.215841584,0.003499494,0.0001,0.28962963,,70,-0.538157011,7.7953E-06,2.8963E-05,,70,0.052839436,0.000808648,0.00000001,-2.554083659
,75,0.21980198,0.001285501,0.0001,0.343333333,,71,-0.538157011,5.02844E-06,2.8963E-05,,71,0.047354174,0.000649471,0.00000001,-2.649283475
,76,0.225742574,0.001849505,0.0001,0.343333333,,72,,2.8832E-06,2.8963E-05,,72,0.041206767,0.00049179,0.00000001,-2.770062907
,77,0.22970297,0.001703574,0.0001,0.343333333,,73,,2.73954E-06,2.8963E-05,,73,0.040683617,0.000479382,0.00000001,-2.781160875
,78,0.231683168,0.00196742,0.0001,0.343333333,,74,,1.22465E-05,2.8963E-05,,74,0.059156518,0.001013557,0.00000001,-2.455994789
,79,0.233663366,0.001689974,0.0001,0.343333333,,75,,1.65251E-06,3.43333E-05,,75,0.035853877,0.000441355,0.00000001,-2.890927741
,80,0.235643564,0.001882826,0.0001,0.343333333,,,,,,,,,,,
,81,0.237623762,0.000852331,0.0001,0.922592593,,,,,,,,,,,
,82,0.23960396,0.000888508,0.0001,0.922592593,,,,,,,,,,,
,83,0.241584158,0.001178738,0.0001,0.922592593,,,,,,,,,,,
,84,0.243564356,0.001959259,0.0001,0.922592593,,,,,,,,,,,
,85,0.245544554,0.00125354,0.0001,0.922592593,,,,,,,,,,,
,86,0.24950495,0.005182123,0.0001,0.922592593,,,,,,,,,,,
,87,0.251485149,0.003438564,0.0001,0.783333333,,,,,,,,,,,
,88,0.253465347,0.004339992,0.0001,0.783333333,,,,,,,,,,,
,89,0.259405941,0.01613839,0.0001,0.783333333,,,,,,,,,,,
,90,0.263366337,0.004399698,0.0001,0.783333333,,,,,,,,,,,
,91,0.265346535,0.013190253,0.0001,0.783333333,,,,,,,,,,,
,92,0.269306931,0.004302047,0.0001,0.783333333,,,,,,,,,,,
,93,0.271287129,0.00470584,0.0001,0.783333333,,,,,,,,,,,
,94,0.273267327,0.003311401,0.0001,0.783333333,,,,,,,,,,,
,95,0.275247525,0.007319682,0.0001,0.783333333,,,,,,,,,,,
,96,0.279207921,0.022064042,0.0001,0.783333333,,,,,,,,,,,
,97,0.281188119,0.045081328,0.0001,0.697777778,,,,,,,,,,,
,98,0.287128713,0.032273788,0.0001,0.697777778,,,,,,,,,,,
,99,0.291089109,0.032127993,0.0001,0.697777778,,,,,,,,,,,
,100,0.293069307,0.031616214,0.0001,0.697777778,,,,,,,,,,,
,101,0.295049505,0.037096863,0.0001,0.697777778,,,,,,,,,,,
,102,0.297029703,0.022444306,0.0001,0.697777778,,,,,,,,,,,
,103,0.302970297,0.029143543,0.0001,0.697777778,,,,,,,,,,,
,104,0.304950495,0.019142833,0.0001,0.697777778,,,,,,,,,,,
,105,0.308910891,0.033189633,0.0001,0.697777778,,,,,,,,,,,
,106,0.312871287,0.018177075,0.0001,0.697777778,,,,,,,,,,,
,107,0.314851485,0.019294748,0.0001,0.697777778,,,,,,,,,,,
,108,0.316831683,0.017233486,0.0001,0.697777778,,,,,,,,,,,
,109,0.318811881,0.019816184,0.0001,0.697777778,,,,,,,,,,,
,110,0.322772277,0.020573177,0.0001,0.697777778,,,,,,,,,,,
,111,0.324752475,0.030410819,0.0001,0.697777778,,,,,,,,,,,
,112,0.326732673,0.039681329,0.0001,0.697777778,,,,,,,,,,,
,113,0.328712871,0.027253237,0.0001,0.697777778,,,,,,,,,,,
,114,0.330693069,0.024398397,0.0001,0.697777778,,,,,,,,,,,
,115,0.334653465,0.033228393,0.0001,0.697777778,,,,,,,,,,,
,116,0.336633663,0.016335323,0.0001,0.697777778,,,,,,,,,,,
,117,0.338613861,0.031383784,0.0001,0.697777778,,,,,,,,,,,
,118,0.340594059,0.001806392,0.0001,0.122592593,,,,,,,,,,,
,119,0.342574257,0.001162282,0.0001,0.122592593,,,,,,,,,,,
,120,0.344554455,0.001062864,0.0001,0.122592593,,,,,,,,,,,
,121,0.346534653,0.00082037,0.0001,0.122592593,,,,,,,,,,,
,122,0.348514851,0.000869059,0.0001,0.122592593,,,,,,,,,,,
,123,0.35049505,0.000651862,0.0001,0.122592593,,,,,,,,,,,
,124,0.352475248,0.000817378,0.0001,0.122592593,,,,,,,,,,,
,125,0.354455446,0.000700144,0.0001,0.063703704,,,,,,,,,,,
,126,0.356435644,0.000810034,0.0001,0.063703704,,,,,,,,,,,
,127,0.358415842,0.000850835,0.0001,0.063703704,,,,,,,,,,,
,128,0.36039604,0.001152082,0.0001,0.063703704,,,,,,,,,,,
,129,0.362376238,0.001275164,0.0001,0.063703704,,,,,,,,,,,
,130,0.368316832,0.000675935,0.0001,0.063703704,,,,,,,,,,,
,131,0.37029703,0.00098507,0.45,0.1,,,,,,,,,,,
,132,0.374257426,0.001052391,0.45,0.1,,,,,,,,,,,
,133,0.376237624,0.001147321,0.45,0.1,,,,,,,,,,,
,134,0.378217822,0.000853963,0.45,0.1,,,,,,,,,,,
,135,0.38019802,0.001092376,0.45,0.1,,,,,,,,,,,
,136,0.382178218,0.000211485,0.6,0.081111111,,,,,,,,,,,
,137,0.384158416,0.000109754,0.6,0.081111111,,,,,,,,,,,
,138,0.39009901,0.000548636,0.8,0.028888889,,,,,,,,,,,
,139,0.396039604,0.000155859,0.95,0.027037037,,,,,,,,,,,
,140,0.398019802,0.000382576,0.825,0.047777778,,,,,,,,,,,
,141,0.401980198,0.000391417,0.95,0.071851852,,,,,,,,,,,
,142,0.403960396,0.000187276,0.95,0.071851852,,,,,,,,,,,
,143,0.405940594,0.001769399,0.0001,0.364814815,,,,,,,,,,,
,144,0.407920792,0.003037899,0.0001,0.364814815,,,,,,,,,,,
,145,0.411881188,0.001761919,0.0001,0.364814815,,,,,,,,,,,
,146,0.417821782,0.005024768,0.0001,0.364814815,,,,,,,,,,,
,147,0.421782178,0.001825161,0.0001,0.364814815,,,,,,,,,,,
,148,0.423762376,0.003852013,0.0001,0.364814815,,,,,,,,,,,
,149,0.427722772,0.00053422,0.0001,0.487037037,,,,,,,,,,,
,150,0.437623762,0.005459025,0.0001,0.202222222,,,,,,,,,,,
,151,0.43960396,0.00839465,0.0001,0.202222222,,,,,,,,,,,
,152,0.441584158,0.008274152,0.0001,0.202222222,,,,,,,,,,,
,153,0.443564356,0.004202629,0.0001,0.202222222,,,,,,,,,,,
,154,0.445544554,0.007080453,0.0001,0.202222222,,,,,,,,,,,
,155,0.447524752,0.005111265,0.0001,0.202222222,,,,,,,,,,,
,156,0.44950495,0.005522539,0.0001,0.202222222,,,,,,,,,,,
,157,0.453465347,0.005922387,0.0001,0.202222222,,,,,,,,,,,
,158,0.455445545,0.007217408,0.0001,0.202222222,,,,,,,,,,,
,159,0.459405941,0.007738164,0.0001,0.202222222,,,,,,,,,,,
,160,0.461386139,0.004422138,0.0001,0.202222222,,,,,,,,,,,
,161,0.463366337,0.006005757,0.0001,0.202222222,,,,,,,,,,,
,162,0.465346535,0.004408266,0.0001,0.202222222,,,,,,,,,,,
,163,0.467326733,0.006994091,0.0001,0.202222222,,,,,,,,,,,
,164,0.475247525,0.001454824,0.3,0.155185185,,,,,,,,,,,
,165,0.479207921,0.001313517,0.3,0.155185185,,,,,,,,,,,
,166,0.481188119,0.001649037,0.3,0.155185185,,,,,,,,,,,
,167,0.483168317,0.002716796,0.22,0.18962963,,,,,,,,,,,
,168,0.487128713,0.004535837,0.22,0.18962963,,,,,,,,,,,
,169,0.491089109,0.0021498,0.22,0.18962963,,,,,,,,,,,
,170,0.493069307,0.002508032,0.22,0.18962963,,,,,,,,,,,
,171,0.495049505,0.001822168,0.22,0.18962963,,,,,,,,,,,
,172,0.497029703,0.002825735,0.22,0.18962963,,,,,,,,,,,
,173,0.500990099,0.004931741,0.22,0.18962963,,,,,,,,,,,
,174,0.514851485,0.007259705,0.2,0.11962963,,,,,,,,,,,
,175,0.516831683,0.007178239,0.2,0.11962963,,,,,,,,,,,
,176,0.518811881,0.006988107,0.2,0.11962963,,,,,,,,,,,
,177,0.520792079,0.011137831,0.2,0.11962963,,,,,,,,,,,
,178,0.522772277,0.007395164,0.2,0.11962963,,,,,,,,,,,
,179,0.524752475,0.010272308,0.2,0.11962963,,,,,,,,,,,
,180,0.526732673,0.010599803,0.2,0.11962963,,,,,,,,,,,
,181,0.530693069,0.007265009,0.2,0.11962963,,,,,,,,,,,
,182,0.536633663,0.002118791,0.2,0.23037037,,,,,,,,,,,
,183,0.538613861,0.001472641,0.2,0.23037037,,,,,,,,,,,
,184,0.540594059,0.002931681,0.2,0.23037037,,,,,,,,,,,
,185,0.542574257,0.000681647,0.4,0.21,,,,,,,,,,,
,186,0.552475248,0.002775278,0.2,0.095925926,,,,,,,,,,,
,187,0.556435644,0.000417937,0.2,0.095925926,,,,,,,,,,,
,188,0.558415842,0.000747609,0.2,0.095925926,,,,,,,,,,,
,189,0.56039604,0.000118187,0.9,0.017407407,,,,,,,,,,,
,190,0.562376238,3.73E-05,0.9,0.082592593,,,,,,,,,,,
,191,0.564356436,6.31E-05,0.55,0.055925926,,,,,,,,,,,
,192,0.566336634,0.000181292,0.8,0.037777778,,,,,,,,,,,
,193,0.57029703,0.0005383,0.525,0.16962963,,,,,,,,,,,
,194,0.574257426,0.000390329,0.8,0.155925926,,,,,,,,,,,
,195,0.578217822,0.000405697,0.8,0.155925926,,,,,,,,,,,
,196,0.58019802,0.001038111,0.0001,0.488148148,,,,,,,,,,,
,197,0.586138614,0.000644654,0.0001,0.488148148,,,,,,,,,,,
,198,0.588118812,0.001832097,0.0001,0.488148148,,,,,,,,,,,
,199,0.596039604,0.000395089,0.34,0.198148148,,,,,,,,,,,
,200,0.598019802,0.00117425,0.34,0.198148148,,,,,,,,,,,
,201,0.6,0.001274076,0.34,0.198148148,,,,,,,,,,,
,202,0.601980198,0.000664103,0.33,0.053333333,,,,,,,,,,,
,203,0.603960396,0.000659207,0.33,0.053333333,,,,,,,,,,,
,204,0.605940594,0.000934477,0.33,0.053333333,,,,,,,,,,,
,205,0.60990099,0.006618723,0.0001,0.339259259,,,,,,,,,,,
,206,0.611881188,0.004665992,0.0001,0.339259259,,,,,,,,,,,
,207,0.613861386,0.03575737,0.0001,0.339259259,,,,,,,,,,,
,208,0.615841584,0.010663861,0.0001,0.339259259,,,,,,,,,,,
,209,0.617821782,0.003473109,0.0001,0.339259259,,,,,,,,,,,
,210,0.623762376,0.003362539,0.0001,0.339259259,,,,,,,,,,,
,211,0.625742574,0.004242614,0.0001,0.339259259,,,,,,,,,,,
,212,0.627722772,0.003249112,0.0001,0.339259259,,,,,,,,,,,
,213,0.62970297,0.005381639,0.0001,0.339259259,,,,,,,,,,,
,214,0.633663366,0.002193457,0.0001,0.245925926,,,,,,,,,,,
,215,0.641584158,0.004552973,0.0001,0.245925926,,,,,,,,,,,
,216,0.643564356,0.0025234,0.0001,0.245925926,,,,,,,,,,,
,217,0.647524752,0.003192127,0.0001,0.245925926,,,,,,,,,,,
,218,0.64950495,0.000813978,0.0001,0.092592593,,,,,,,,,,,
,219,0.653465347,0.000532044,0.0001,0.092592593,,,,,,,,,,,
,220,0.659405941,0.000605349,0.0001,0.164814815,,,,,,,,,,,
,221,0.661386139,0.000422425,0.0001,0.164814815,,,,,,,,,,,
,222,0.665346535,0.000380128,0.0001,0.164814815,,,,,,,,,,,
,223,0.669306931,0.000363672,0.0001,0.164814815,,,,,,,,,,,
,224,0.671287129,0.000661655,0.0001,0.164814815,,,,,,,,,,,
,225,0.673267327,0.000750601,0.0001,0.164814815,,,,,,,,,,,
,226,0.675247525,9.10E-05,0.35,0.028888889,,,,,,,,,,,
,227,0.677227723,0.000253782,0.0001,0.042592593,,,,,,,,,,,
,228,0.679207921,0.000259902,0.55,0.112592593,,,,,,,,,,,
,229,0.681188119,0.000328719,0.55,0.112592593,,,,,,,,,,,
,230,0.687128713,0.000168372,0.85,0.126296296,,,,,,,,,,,
,231,0.689108911,0.000118187,0.8,0.047037037,,,,,,,,,,,
,232,0.691089109,0.000308319,0.4,0.018888889,,,,,,,,,,,
,233,0.697029703,0.000899252,0.6,0.035185185,,,,,,,,,,,
,234,0.704950495,0.122085013,0.0001,0.642962963,,,,,,,,,,,
,235,0.706930693,0.052271128,0.0001,0.642962963,,,,,,,,,,,
,236,0.708910891,0.070659688,0.0001,0.642962963,,,,,,,,,,,
,237,0.710891089,0.057869148,0.0001,0.642962963,,,,,,,,,,,
,238,0.712871287,0.061685529,0.0001,0.642962963,,,,,,,,,,,
,239,0.716831683,0.049938948,0.0001,0.642962963,,,,,,,,,,,
,240,0.722772277,0.061875253,0.0001,0.642962963,,,,,,,,,,,
,241,0.724752475,0.050193682,0.0001,0.642962963,,,,,,,,,,,
,242,0.726732673,0.183820047,0.0001,0.642962963,,,,,,,,,,,
,243,0.728712871,0.066531316,0.0001,0.642962963,,,,,,,,,,,
,244,0.732673267,0.088843156,0.0001,0.642962963,,,,,,,,,,,
,245,0.734653465,0.125476113,0.0001,0.642962963,,,,,,,,,,,
,246,0.736633663,0.112351141,0.0001,0.642962963,,,,,,,,,,,
,247,0.738613861,0.150987559,0.0001,0.642962963,,,,,,,,,,,
,248,0.740594059,0.251495149,0.0001,0.642962963,,,,,,,,,,,
,249,0.744554455,0.20783546,0.0001,0.642962963,,,,,,,,,,,
,250,0.746534653,0.133516475,0.0001,0.642962963,,,,,,,,,,,
,251,0.756435644,0.124860291,0.0001,0.642962963,,,,,,,,,,,
,252,0.758415842,0.108614186,0.0001,0.642962963,,,,,,,,,,,
,253,0.76039604,0.273074748,0.0001,0.642962963,,,,,,,,,,,
,254,0.764356436,0.331677089,0.0001,0.642962963,,,,,,,,,,,
,255,0.766336634,0.307241426,0.0001,0.642962963,,,,,,,,,,,
,256,0.77029703,0.11078017,0.0001,0.642962963,,,,,,,,,,,
,257,0.774257426,0.071901124,0.0001,0.642962963,,,,,,,,,,,
,258,0.776237624,0.157376981,0.0001,0.642962963,,,,,,,,,,,
,259,0.78019802,0.181611358,0.0001,0.642962963,,,,,,,,,,,
,260,0.784158416,0.079775698,0.0001,0.642962963,,,,,,,,,,,
,261,0.788118812,0.521510101,0.0001,0.642962963,,,,,,,,,,,
,262,0.792079208,0.340548565,0.0001,0.642962963,,,,,,,,,,,
,263,0.794059406,0.193530663,0.0001,0.642962963,,,,,,,,,,,
,264,0.798019802,0.337224652,0.0001,0.642962963,,,,,,,,,,,
,265,0.805940594,0.162452613,0.0001,0.642962963,,,,,,,,,,,
,266,0.807920792,0.100609185,0.0001,0.642962963,,,,,,,,,,,
,267,0.817821782,0.389641575,0.0001,0.642962963,,,,,,,,,,,
,268,0.81980198,0.622074813,0.0001,0.642962963,,,,,,,,,,,
,269,0.821782178,0.245870064,0.0001,0.642962963,,,,,,,,,,,
,270,0.825742574,0.352714035,0.0001,0.642962963,,,,,,,,,,,
,271,0.827722772,1,0.0001,0.642962963,,,,,,,,,,,
,272,0.82970297,0.160564891,0.0001,0.642962963,,,,,,,,,,,
,273,0.83960396,0.119489532,0.0001,0.642962963,,,,,,,,,,,
,274,0.841584158,0.215618913,0.0001,0.642962963,,,,,,,,,,,
,275,0.845544554,0.512127253,0.0001,0.642962963,,,,,,,,,,,
,276,0.847524752,0.100108966,0.0001,0.642962963,,,,,,,,,,,
,277,0.84950495,0.126925769,0.0001,0.642962963,,,,,,,,,,,
,278,0.853465347,0.136764363,0.0001,0.642962963,,,,,,,,,,,
,279,0.855445545,0.087555071,0.0001,0.642962963,,,,,,,,,,,
,280,0.857425743,0.075818283,0.0001,0.642962963,,,,,,,,,,,
,281,0.859405941,0.189140485,0.0001,0.642962963,,,,,,,,,,,
,282,0.865346535,0.206328547,0.0001,0.642962963,,,,,,,,,,,
,283,0.869306931,0.127629448,0.0001,0.642962963,,,,,,,,,,,
,284,0.871287129,0.299815662,0.0001,0.642962963,,,,,,,,,,,
,285,0.873267327,0.132165829,0.0001,0.642962963,,,,,,,,,,,
,286,0.875247525,0.076978388,0.0001,0.642962963,,,,,,,,,,,
,287,0.877227723,0.135461998,0.0001,0.642962963,,,,,,,,,,,
,288,0.879207921,0.17402919,0.0001,0.642962963,,,,,,,,,,,
,289,0.881188119,0.145053747,0.0001,0.642962963,,,,,,,,,,,
,290,0.885148515,0.134895002,0.0001,0.642962963,,,,,,,,,,,
,291,0.887128713,0.126792486,0.0001,0.642962963,,,,,,,,,,,
